,Conv Features Layer 1,Conv Features Layer 2,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,1,12,0.121926829,0.962016642,0.114886269,0.965699971
1,1,15,0.115981087,0.963866651,0.110706344,0.966300011
2,1,16,0.118159063,0.964049995,0.109060086,0.966400027
3,1,17,0.126762763,0.961616695,0.11939092,0.961700022
4,1,19,0.129637927,0.960683346,0.12111792,0.961600006
5,1,21,0.121755145,0.962100029,0.110404894,0.964600027
6,1,25,0.092264019,0.971716642,0.088545308,0.97299999
7,3,12,0.117861323,0.963916659,0.111789636,0.965699971
8,3,15,0.102191463,0.968599975,0.095494539,0.972500026
9,3,16,0.106543995,0.966766655,0.095476553,0.967100024
10,3,17,0.091428429,0.972016692,0.084535629,0.974600017
11,3,19,0.08557304,0.974849999,0.07795278,0.976000011
12,3,21,0.105461836,0.96723336,0.096545033,0.970700026
13,3,25,0.082568139,0.975049973,0.080090143,0.975099981
14,5,12,0.107375517,0.96783334,0.098576196,0.968599975
15,5,15,0.076936983,0.976266682,0.06488236,0.979499996
16,5,16,0.08706551,0.973466694,0.080870904,0.975399971
17,5,17,0.086194284,0.973800004,0.080046922,0.974099994
18,5,19,0.074893072,0.977033317,0.071174875,0.976000011
19,5,21,0.079196692,0.975250006,0.077219471,0.975499988
20,5,25,0.088651791,0.972266674,0.080753475,0.973800004
21,6,12,0.087215863,0.973816693,0.077694826,0.976199985
22,6,15,0.077839315,0.976666689,0.074349068,0.976899981
23,6,16,0.086665891,0.973383307,0.075175434,0.976599991
24,6,17,0.089145936,0.972299993,0.078885123,0.975000024
25,6,19,0.068792246,0.978533328,0.064389102,0.979399979
26,6,21,0.071877979,0.977983356,0.065098941,0.978200018
27,6,25,0.08332663,0.975333333,0.073343918,0.976400018
28,7,12,0.08452902,0.974466681,0.077405706,0.975700021
29,7,15,0.103650302,0.968883336,0.100639381,0.967100024
30,7,16,0.075027063,0.977599978,0.069368288,0.977900028
31,7,17,0.074581362,0.977216661,0.07164003,0.978600025
32,7,19,0.070459872,0.978183329,0.063482702,0.979700029
33,7,21,0.083272561,0.974550009,0.072163947,0.976000011
34,7,25,0.074752532,0.978600025,0.068584412,0.978100002
35,9,12,0.081608936,0.974616647,0.069178037,0.978100002
36,9,15,0.088244997,0.974399984,0.082371727,0.974600017
37,9,16,0.0746722,0.977166653,0.070525706,0.978399992
38,9,17,0.068116806,0.979516685,0.063130245,0.980099976
39,9,19,0.076205783,0.976566672,0.070275299,0.977299988
40,9,21,0.069607824,0.979016662,0.061811768,0.980099976
41,9,25,0.071855552,0.978533328,0.064770333,0.979700029
42,11,12,0.072646692,0.977999985,0.064379655,0.977900028
43,11,15,0.065309823,0.980449975,0.058631569,0.980400026
44,11,16,0.06443616,0.980716646,0.057138924,0.982200027
45,11,17,0.065598287,0.980666637,0.06113838,0.980499983
46,11,19,0.066126004,0.97996664,0.059801649,0.980599999
47,11,21,0.079937376,0.976899981,0.074399166,0.977800012
48,11,25,0.062489215,0.98118335,0.05754862,0.980300009
